subunit,lat,long,direction,type,source,,,,,,,,,
BII,,,316,ripples,O1,,,,,,,,,
BII,,,300,ripples,O1,,,,,,,,,
BII,,,308,ripples,O1,,,,,,,,,
BII,,,312,ripples,O1,,,,,,,,,
BII,,,315,ripples,O1,,,,,,,,,
BII,,,334,ripples,O1,,,,,,,,,
BII,,,315,ripples,O1,,,,,,,,,
BII,,,359,grooves,O1,,,,,,,,,
BII,,,179,grooves,O1,,,,,,,,,
BII,,,336,ripples,O1,,,,,,,,,
BII,,,320,ripples,O2,,,,,,,,,
BII,,,40,ripples,O2,,,,,,,,,
BII,,,28,ripples,O2,,,,,,,,,
BII,,,310,ripples,O2,,,,,,,,,
BII,,,326,flutes,O4b,,,,,,,,,
BII,,,320,ripples,O4b,,,,,,,,,
BII,,,310,ripples,O4b,,,,,,,,,
BII,,,352,flutes,O4b,,,,,,,,,
BII,,,360,grooves,O4b,,,,,,,,,
BII,,,180,grooves,O4b,,,,,,,,,
BII,,,165,grooves,,,,,,,,,,
BII,42.464202,0.113791,345,grooves,,,,,,,,,,
BII,42.464138,0.113753,360,grooves,,,,,,,,,,
BII,,,180,grooves,,,,,,,,,,
BII,,,150,grooves,,,,,,,,,,
BII,42.464139,0.11369,330,grooves,,,,,,,,,,
BII,42.464134,0.113628,324,ripples,,,,,,,,,,
BII,42.464165,0.113448,322,ripples,,,,,,,,,,
BII,42.464298,0.113246,336,ripples,,,,,,,,,,
BII,42.46518,0.113902,62,ripples,,,,,,,,,,
BII,42.465134,0.1138,312,ripples,,,,,,,,,,
BII,42.46514,0.113732,10,ripples,,,,,,,,,,
BII,42.465075,0.113787,300,ripples,,,,,,,,,,
BII,42.465095,0.113904,298,ripples,,,,,,,,,,
BII,,,155,grooves,,,,,,,,,,
BII,42.46499,0.113778,335,grooves,,,,,,,,,,
BII,42.46495,0.113779,334,ripples,,,,,,,,,,
BII,42.464976,0.113501,308,ripples,,,,,,,,,,
BII,42.464881,0.113514,272,ripples,,,,,,,,,,
BII,42.464871,0.113486,320,ripples,,,,,,,,,,
BII,42.464867,0.113465,282,ripples,,,,,,,,,,
BII,42.464759,0.113301,312,ripples,,,,,,,,,,
BII,42.464757,0.113247,318,ripples,,,,,,,,,,
BII,42.464665,0.113324,320,ripples,,,,,,,,,,
BII,42.46466,0.113239,11,flutes,,,,,,,,,,
BII,42.466212,0.108875,325,flutes,,,,,,,,,,
BII,42.466207,0.108826,356,flutes,,,,,,,,,,
BII,42.46625,0.108923,30,flutes,,,,,,,,,,
BII,42.466228,0.10886,40,flutes,,,,,,,,,,
BII,42.466237,0.108745,320,ripples,,,,,,,,,,
BII,42.466396,0.108463,352,flutes,,,,,,,,,,
BII,42.466344,0.108483,330,ripples,,,,,,,,,,
BII,42.46606,0.109282,59,ripples,,,,,,,,,,
BII,42.466074,0.109297,0,ripples,,,,,,,,,,
BII,42.465943,0.109405,42,ripples,,,,,,,,,,
BII,42.465721,0.109985,334,ripples,,,,,,,,,,
BII,,,200,grooves,,,,,,,,,,
BII,42.465714,0.109932,20,grooves,,,,,,,,,,
BII,42.46571,0.110081,322,ripples,,,,,,,,,,
BII,42.465562,0.110227,50,ripples,,,,,,,,,,
BII,42.465517,0.110233,12,ripples,,,,,,,,,,
BII,42.46536,0.110641,348,flutes,,,,,,,,,,
BII,42.461079,0.119415,340,flutes,,,,,,,,,,
BII,42.465275,0.110984,345,flutes,,,,,,,,,,
BII,42.465063,0.11121,308,ripples,,,,,,,,,,
BII,42.465006,0.111356,340,ripples,,,,,,,,,,
BII,42.464985,0.111478,22,ripples,,,,,,,,,,
BII,42.464766,0.11172,310,ripples,,,,,,,,,,
BII,42.464732,0.111881,348,ripples,,,,,,,,,,
BIII,42.462475,0.11362,308,ripples,,,,,,,,,,
BIII,42.462518,0.113687,318,ripples,,,,,,,,,,
BIII,42.462498,0.113479,302,ripples,,,,,,,,,,
BIII,42.462576,0.113585,312,ripples,,,,,,,,,,
BIII,42.462778,0.11388,302,ripples,,,,,,,,,,
BIII,42.462816,0.113772,294,ripples,,,,,,,,,,
BIII,42.462806,0.113725,132,ripples,,,,,,,,,,
BIII,42.462825,0.113688,114,ripples,,,,,,,,,,
BIII,42.46265,0.113777,312,ripples,,,,,,,,,,
BIII,42.462784,0.113612,322,ripples,,,,,,,,,,
BIII,42.462636,0.11345,348,ripples,,,,,,,,,,
BIII,42.462604,0.113464,318,ripples,,,,,,,,,,
BIII,42.462053,0.113989,344,flutes,,,,,,,,,,
BIII,42.462053,0.113989,328,ripples,,,,,,,,,,
BIII,42.462047,0.11396,324,ripples,,,,,,,,,,
BIII,42.462048,0.113946,315,ripples,,,,,,,,,,
BIII,42.462009,0.113966,340,ripples,,,,,,,,,,
BIII,42.462028,0.114001,342,flutes,,,,,,,,,,
BIII,42.462028,0.113978,320,ripples,,,,,,,,,,
BIII,42.462029,0.113914,310,ripples,,,,,,,,,,
BIII,42.46203,0.113857,312,ripples,,,,,,,,,,
